Patient_ID	ENSG00000224037.2	ENSG00000229719.2	ENSG00000241449.1	ENSG00000258252.1	ENSG00000258573.1
TCGA-D1-A17Q-01	0	0	0.026501196	0	0
TCGA-D1-A17R-01	0.022673051	0	0	0	0.021762039
TCGA-D1-A17S-01	0	0.026000807	0.058768566	0.107967476	0
TCGA-D1-A17T-01	0.036685057	0	0	0	0
TCGA-D1-A17U-01	0	0	0	0	0
TCGA-D1-A1NU-01	0	0	0	0	0
TCGA-D1-A1NW-01	0	0	0	0.091639737	0
TCGA-D1-A1NX-01	0	0	0	0	0.022444309
TCGA-D1-A1NY-01	0	0	0	0	0.034687342
TCGA-D1-A1O0-01	0	0	0.02576956	0	0
TCGA-D1-A1O8-01	0	0	0.172979978	0	0.053544673
TCGA-D1-A2G6-01	0	0	0	0	0
TCGA-DI-A0WH-01	0.060386749	0	0	0	0
TCGA-DI-A1BY-01	0	0	0	0	0
TCGA-DI-A1NN-01	0	0	0	0	0
TCGA-DI-A1NO-01	0.264283429	0	0	0.172933803	0
TCGA-E6-A1LX-01	0	0	0	0	0
TCGA-E6-A1LZ-01	0.039230172	0	0.085965246	0.088663707	0
TCGA-E6-A1M0-01	0	0	0	0.054452143	0
TCGA-EC-A1QX-01	0.039567672	0	0	0.089426486	0.02548512
TCGA-EC-A24G-01	0.035292702	0	0	0	0.022731657
TCGA-EO-A1Y8-01	0	0	0	0.180963839	0
TCGA-EY-A1GQ-01	0	0	0	0	0
TCGA-EY-A1GR-01	0	0	0	0	0
TCGA-EY-A1GV-01	0	0	0	0	0
TCGA-EY-A1GW-01	0.112354221	0	0	0	0.023503542
TCGA-EY-A212-01	0.036865951	0	0	0	0
TCGA-FI-A2CX-01	0.058775582	0	0	0	0
TCGA-FI-A2CY-01	0.03107726	0	0	0	0
TCGA-FI-A2D2-01	0.027430267	0	0	0	0
TCGA-FI-A2EU-01	0.064234207	0	0	0	0
TCGA-FI-A2EW-01	0.14293319	0	0	0.215361219	0
TCGA-FI-A2EX-01	0	0	0	0.083421672	0
TCGA-FI-A2F8-01	0.042310185	0	0	0.095624813	0
TCGA-FI-A2F9-01	0.050419374	0	0	0	0
